                C(4)	                  Ca	                  Mg	                  Cl	                  pH	                  H+	                  pe	             Calcite	       Dolomite(dis)	
 1.225430769424e-004	 1.259441537802e-004	 2.335269117898e-005	 5.350753506373e-005	 9.904220120818e+000	 1.276629717367e-010	 8.382602012173e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.225435505432e-004	 1.259446273810e-004	 2.335269117908e-005	 5.350753506395e-005	 9.904221318207e+000	 1.276626242190e-010	 8.380856851849e+000	 2.073226736914e-004	 0.000000000000e+000	
 1.225874058243e-004	 1.252477119817e-004	 1.852506938868e-005	 4.237075011616e-005	 9.905434861469e+000	 1.272571199729e-010	 8.276284385336e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.225877582659e-004	 1.252480644233e-004	 1.852506938874e-005	 4.237075011629e-005	 9.905435751723e+000	 1.272568624908e-010	 8.274213733412e+000	 2.073245333014e-004	 0.000000000000e+000	
 1.226187058185e-004	 1.246817838578e-004	 1.456705744229e-005	 3.326026998197e-005	 9.906423344434e+000	 1.269268344342e-010	 8.205789884178e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.226189588751e-004	 1.246820369143e-004	 1.456705744233e-005	 3.326026998204e-005	 9.906423983187e+000	 1.269266502175e-010	 8.229114483098e+000	 2.073258811596e-004	 0.000000000000e+000	
 1.226402466514e-004	 1.242263845674e-004	 1.135389719215e-005	 2.588006923079e-005	 9.907219486858e+000	 1.266607146981e-010	-4.847849175667e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.226404224024e-004	 1.242265603184e-004	 1.135389719217e-005	 2.588006923083e-005	 9.907219930232e+000	 1.266605871236e-010	-4.818549619022e+000	 2.073268254906e-004	 0.000000000000e+000	
 1.226546345365e-004	 1.238635071592e-004	 8.771066111308e-006	 1.995987647870e-005	 9.907854214564e+000	 1.264484214160e-010	 8.417204839263e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.226547528568e-004	 1.238636254795e-004	 8.771066111317e-006	 1.995987647872e-005	 9.907854512927e+000	 1.264483357251e-010	 8.418986617182e+000	 2.073274664255e-004	 0.000000000000e+000	
 1.226638977057e-004	 1.235771862084e-004	 6.715344449553e-006	 1.525726491261e-005	 9.908355164151e+000	 1.262807437051e-010	 8.161479442259e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.226639750642e-004	 1.235772635669e-004	 6.715344449558e-006	 1.525726491262e-005	 9.908355359159e+000	 1.262806877805e-010	 8.175268278219e+000	 2.073278886444e-004	 0.000000000000e+000	
 1.226695788031e-004	 1.233534859577e-004	 5.095276885204e-006	 1.155836708557e-005	 9.908746581676e+000	 1.261496133075e-010	 8.275624549242e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.226696280000e-004	 1.233535351546e-004	 5.095276885206e-006	 1.155836708557e-005	 9.908746705663e+000	 1.261495777913e-010	 8.269391561037e+000	 2.073281590511e-004	 0.000000000000e+000	
 1.226728250122e-004	 1.231804253861e-004	 3.831129426938e-006	 8.677458606188e-006	 9.909049378123e+000	 1.260480751966e-010	 8.036747091427e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.226728554877e-004	 1.231804558616e-004	 3.831129426939e-006	 8.677458606190e-006	 9.909049454913e+000	 1.260480532195e-010	 8.092234223537e+000	 2.073283276605e-004	 0.000000000000e+000	
